model,seed,epoch,loss_type,loss_value
gnn,37,68,train,0.25788230425235753
gnn,37,68,val,0.3079307483016735
gnn,37,69,train,0.2617519123928426
gnn,37,69,val,0.2748754183913288
gnn,37,70,train,0.24148536818301722
gnn,37,70,val,0.30284322196223884
gnn,37,71,train,0.24151222930878144
gnn,37,71,val,0.2930478962049947
gnn,37,72,train,0.23978926401087158
gnn,37,72,val,0.28204564850386765
gnn,37,73,train,0.2595755397122125
gnn,37,73,val,0.312032068827052
gnn,37,74,train,0.25736627310634497
gnn,37,74,val,0.2838376305855676
gnn,37,75,train,0.2590265464679952
gnn,37,75,val,0.29146481208218056
gnn,37,76,train,0.25025592998772406
gnn,37,76,val,0.28749383518581795
gnn,37,77,train,0.24955262665874692
gnn,37,77,val,0.2788858200854978
gnn,37,78,train,0.24998533501697864
gnn,37,78,val,0.284234062353656
gnn,37,79,train,0.2633819278176824
gnn,37,79,val,0.2905381973611187
gnn,37,80,train,0.258606463779661
gnn,37,80,val,0.28409646816424433
gnn,37,81,train,0.2613268418741278
gnn,37,81,val,0.30107494753614744
gnn,37,82,train,0.25571352884011894
gnn,37,82,val,0.2950429515505292
gnn,37,83,train,0.2552038850605879
gnn,37,83,val,0.29569505363819204
gnn,37,84,train,0.2569370024833407
gnn,37,84,val,0.2939724649067372
gnn,37,85,train,0.24600909677443752
gnn,37,85,val,0.28956827351678216
gnn,37,86,train,0.2538241710943244
gnn,37,86,val,0.2912375228103327
gnn,37,87,train,0.2494388562403869
gnn,37,87,val,0.2904382317542202
gnn,37,88,train,0.24960675157645146
gnn,37,88,val,0.28740488388335544
gnn,37,89,train,0.26190238486213835
gnn,37,89,val,0.2947351973311221
gnn,37,90,train,0.25216312274372815
gnn,37,90,val,0.2890240747513624
gnn,37,91,train,0.2436181649538782
gnn,37,91,val,0.2847845436709995
gnn,37,92,train,0.24994287575741939
gnn,37,92,val,0.3030743775380284
gnn,37,93,train,0.2501884818845344
gnn,37,93,val,0.2948998891220775
gnn,37,94,train,0.2557851821936475
gnn,37,94,val,0.2849582652839399
gnn,37,95,train,0.24851494351056982
gnn,37,95,val,0.2791566600282153
gnn,37,96,train,0.2618411578361496
gnn,37,96,val,0.28987423615233654
gnn,37,97,train,0.24919178231505612
gnn,37,97,val,0.28689380537078096
gnn,37,98,train,0.2543828039276698
gnn,37,98,val,0.2843025738213446
gnn,37,99,train,0.2524604778161624
gnn,37,99,val,0.2916437608455769
gnn,37,100,train,0.2554239445016525
gnn,37,100,val,0.28797703665646607
gnn,73,1,train,1.1777134337651458
gnn,73,1,val,1.0287445946974088
gnn,73,2,train,1.0860472218350217
gnn,73,2,val,1.0319021317125279
gnn,73,3,train,1.1276959507876578
gnn,73,3,val,0.9636281439800092
gnn,73,4,train,1.1065329101958372
gnn,73,4,val,0.9138304178793004
gnn,73,5,train,0.9807407577903916
gnn,73,5,val,0.8683629838217867
gnn,73,6,train,0.9413447597523027
gnn,73,6,val,0.7499031513895086
gnn,73,7,train,0.8856741632849472
gnn,73,7,val,0.7443793015177198
gnn,73,8,train,0.767552228525216
gnn,73,8,val,0.7026394691771347
gnn,73,9,train,0.8419645184435098
gnn,73,9,val,0.6504640841063621
gnn,73,10,train,0.7334054548826606
gnn,73,10,val,0.5575085389443672
gnn,73,11,train,0.6728740764950262
gnn,73,11,val,0.5311664748595434
gnn,73,12,train,0.6550035885020511
gnn,73,12,val,0.5559169255642614
gnn,73,13,train,0.6762198562667707
gnn,73,13,val,0.5050354226570779
gnn,73,14,train,0.6232899871570308
gnn,73,14,val,0.5382140139409506
gnn,73,15,train,0.47383239559842505
gnn,73,15,val,0.5429152536255887
gnn,73,16,train,0.42392336907655115
gnn,73,16,val,0.5206849828082623
gnn,73,17,train,0.5987390708115264
gnn,73,17,val,0.4616601383032342
gnn,73,18,train,0.5306784396078679
gnn,73,18,val,0.472135643524588
gnn,73,19,train,0.5156545877458532
gnn,73,19,val,0.46724129099936107
gnn,73,20,train,0.4782538156226676
gnn,73,20,val,0.4194972551290622
gnn,73,21,train,0.5160053787055128
gnn,73,21,val,0.5042822304275574
gnn,73,22,train,0.470640973191774
gnn,73,22,val,0.439951389899935
gnn,73,23,train,0.42035153846353274
gnn,73,23,val,0.4272927931154328
gnn,73,24,train,0.49201097759312007
gnn,73,24,val,0.46721559019911385
gnn,73,25,train,0.40316733024970935
gnn,73,25,val,0.4403041212931579
gnn,73,26,train,0.44065462719185555
gnn,73,26,val,0.41151214753886417
gnn,73,27,train,0.4045404217257359
gnn,73,27,val,0.4183682554830156
gnn,73,28,train,0.37853906000913456
gnn,73,28,val,0.4296135234215778
gnn,73,29,train,0.373216376871031
gnn,73,29,val,0.40846831341719825
gnn,73,30,train,0.4151319564103216
gnn,73,30,val,0.3879354807333305
gnn,73,31,train,0.3655549969878085
gnn,73,31,val,0.38952945524537913
gnn,73,32,train,0.36233604976740547
gnn,73,32,val,0.39166676254633515
gnn,73,33,train,0.4053729873707146
gnn,73,33,val,0.3879280219403107
gnn,73,34,train,0.3579392666297036
gnn,73,34,val,0.3707014955648921
gnn,73,35,train,0.3514311274233823
gnn,73,35,val,0.36004513869671445
gnn,73,36,train,0.37994876286613205
gnn,73,36,val,0.36505758930054133
gnn,73,37,train,0.3517736680289139
gnn,73,37,val,0.37860648618974835
gnn,73,38,train,0.3599375600257199
gnn,73,38,val,0.3513394086601647
gnn,73,39,train,0.3239769415086402
gnn,73,39,val,0.40545279289173686
gnn,73,40,train,0.3533345292251462
gnn,73,40,val,0.39980776419311553
gnn,73,41,train,0.36467120236897543
gnn,73,41,val,0.31428356443919414
gnn,73,42,train,0.3320259719700438
gnn,73,42,val,0.33423209148260435
gnn,73,43,train,0.37258691917064996
gnn,73,43,val,0.3905820585428265
gnn,73,44,train,0.34698875374227317
gnn,73,44,val,0.35166023379847355
gnn,73,45,train,0.3533795724005038
gnn,73,45,val,0.34277577453984
gnn,73,46,train,0.3422883742691722
gnn,73,46,val,0.3460426776145241
gnn,73,47,train,0.32991089689555275
gnn,73,47,val,0.3556266840418508
gnn,73,48,train,0.32499294947170776
gnn,73,48,val,0.3414687108303181
gnn,73,49,train,0.3291228949838651
gnn,73,49,val,0.3836964731900826
gnn,73,50,train,0.3398391714774022
gnn,73,50,val,0.3234510034256154
gnn,73,51,train,0.3341077155265447
gnn,73,51,val,0.3527276657178431
gnn,73,52,train,0.3290906710933733
gnn,73,52,val,0.34343730343630474
gnn,73,53,train,0.33436548088463447
gnn,73,53,val,0.3687860484283876
gnn,73,54,train,0.32847132529417594
gnn,73,54,val,0.34080657374878126
gnn,73,55,train,0.3153278151736776
gnn,73,55,val,0.329817738439769
gnn,73,56,train,0.3143043896040515
gnn,73,56,val,0.3614377040809115
gnn,73,57,train,0.31390467908203684
gnn,73,57,val,0.3556829178301522
gnn,73,58,train,0.32927350371860065
gnn,73,58,val,0.38122314396320106
gnn,73,59,train,0.3126415373824527
gnn,73,59,val,0.3525961544213261
gnn,73,60,train,0.32588579301360504
gnn,73,60,val,0.34512049991218025
gnn,73,61,train,0.31936332424482927
gnn,73,61,val,0.32843497462560073
gnn,73,62,train,0.31158214315814153
gnn,73,62,val,0.34344749679531844
gnn,73,63,train,0.3248154682269437
gnn,73,63,val,0.3569765623341554
gnn,73,64,train,0.31931143434983966
gnn,73,64,val,0.3572754681793718
gnn,73,65,train,0.3362757959777213
gnn,73,65,val,0.33968834936405445
gnn,73,66,train,0.32120291379189025
gnn,73,66,val,0.3489471952267583
gnn,73,67,train,0.3203342809040592
gnn,73,67,val,0.33584662706078716
gnn,73,68,train,0.33631530731032666
gnn,73,68,val,0.34459998839038525
gnn,73,69,train,0.33526623824363555
gnn,73,69,val,0.3350831763303425
gnn,73,70,train,0.3054767011176607
gnn,73,70,val,0.3302159755852766
gnn,73,71,train,0.311629900484359
gnn,73,71,val,0.3638867264553036
gnn,73,72,train,0.31196210502393357
gnn,73,72,val,0.34448178194632567
gnn,73,73,train,0.3040189095028891
gnn,73,73,val,0.3317285872260548
gnn,73,74,train,0.31357967574782053
gnn,73,74,val,0.35098307701236997
gnn,73,75,train,0.3035691010520878
gnn,73,75,val,0.3316178117737784
gnn,73,76,train,0.2971154851601745
gnn,73,76,val,0.3448436973924034
gnn,73,77,train,0.3149566498701109
gnn,73,77,val,0.3255261061968153
gnn,73,78,train,0.31914006236554204
gnn,73,78,val,0.3511184783884059
gnn,73,79,train,0.30285701683945065
gnn,73,79,val,0.3271793438904378
gnn,73,80,train,0.31080590416772
gnn,73,80,val,0.3365678343601307
gnn,73,81,train,0.31760521982041645
gnn,73,81,val,0.3396716809216768
gnn,73,82,train,0.31561405029713696
gnn,73,82,val,0.33141486556660116
gnn,73,83,train,0.31331442707839596
gnn,73,83,val,0.3507681419207784
gnn,73,84,train,0.3218875849069447
gnn,73,84,val,0.34017863373767954
gnn,73,85,train,0.31652035346345914
gnn,73,85,val,0.34464287012170364
gnn,73,86,train,0.31563225335131334
gnn,73,86,val,0.33169175051238076
gnn,73,87,train,0.30992987817268963
gnn,73,87,val,0.3282081108834683
gnn,73,88,train,0.31038624670114207
gnn,73,88,val,0.34030966644883665
gnn,73,89,train,0.3236503187040041
gnn,73,89,val,0.3336885270203636
gnn,73,90,train,0.3202734924344109
gnn,73,90,val,0.3433933070638648
gnn,73,91,train,0.3255320107212152
gnn,73,91,val,0.33400131435827224
gnn,73,92,train,0.3057335737383801
gnn,73,92,val,0.34370073527099554
gnn,73,93,train,0.30814830912694446
gnn,73,93,val,0.33649686815127133
gnn,73,94,train,0.3162274126802582
gnn,73,94,val,0.34314901368592177
gnn,73,95,train,0.31465294808249544
gnn,73,95,val,0.3449911820739199
gnn,73,96,train,0.3058470365654654
gnn,73,96,val,0.34397450449851236
gnn,73,97,train,0.31810731494961597
gnn,73,97,val,0.3419216202546511
gnn,73,98,train,0.31112367645229116
gnn,73,98,val,0.33746083137190114
gnn,73,99,train,0.3134734067473868
gnn,73,99,val,0.33603637338673276
gnn,73,100,train,0.30854223768552663
gnn,73,100,val,0.3335671994488172
gnn,101,1,train,1.5232149968801536
gnn,101,1,val,1.041982557175887
gnn,101,2,train,1.2696809631985149
gnn,101,2,val,0.9264795345847678
gnn,101,3,train,1.0861985315395009
gnn,101,3,val,1.1009125631921914
gnn,101,4,train,1.175295364359406
gnn,101,4,val,0.903323074686466
gnn,101,5,train,1.0989047295729613
gnn,101,5,val,0.9133394124476744
gnn,101,6,train,1.1723843914068395
gnn,101,6,val,0.7705359172028465
gnn,101,7,train,0.9334641730452818
gnn,101,7,val,0.6883162715843394
gnn,101,8,train,0.8235668885059956
gnn,101,8,val,0.748727050104198
gnn,101,9,train,0.6626295242254471
gnn,101,9,val,0.7193054508005631
gnn,101,10,train,0.788560778351369
gnn,101,10,val,0.7278554854830313
gnn,101,11,train,0.7720001259796193
gnn,101,11,val,0.7530717066741454
gnn,101,12,train,0.7506781405705443
gnn,101,12,val,0.5213118572195738
gnn,101,13,train,0.6555154152572378
gnn,101,13,val,0.5107058298785082
gnn,101,14,train,0.6213093241896336
gnn,101,14,val,0.5707245594518451
gnn,101,15,train,0.6620515723326336
gnn,101,15,val,0.6284102559457557
gnn,101,16,train,0.6143459442385953
gnn,101,16,val,0.6612405805766903
gnn,101,17,train,0.6078831187908688
gnn,101,17,val,0.5579467711659833
gnn,101,18,train,0.48899921340863456
gnn,101,18,val,0.4339973876325818
gnn,101,19,train,0.5099723984257609
gnn,101,19,val,0.4479438377880859
gnn,101,20,train,0.532594803825445
gnn,101,20,val,0.4262317992271134
gnn,101,21,train,0.4923856211572078
gnn,101,21,val,0.41481576993238684
gnn,101,22,train,0.46301132065724937
gnn,101,22,val,0.434014170910842
gnn,101,23,train,0.44214259654386606
gnn,101,23,val,0.4476976880608477
gnn,101,24,train,0.4523627760267412
gnn,101,24,val,0.46272442683853954
gnn,101,25,train,0.47528631657071896
gnn,101,25,val,0.46308801366039953
gnn,101,26,train,0.4600886225234422
gnn,101,26,val,0.4733394621189894
gnn,101,27,train,0.44177967308391275
gnn,101,27,val,0.4167940794615462
gnn,101,28,train,0.40293111014972766
gnn,101,28,val,0.45091231101593926
gnn,101,29,train,0.42568449982456197
gnn,101,29,val,0.42028585980527544
gnn,101,30,train,0.4243372807558379
gnn,101,30,val,0.4431657363731369
gnn,101,31,train,0.3910439858269596
gnn,101,31,val,0.4262896302752105
gnn,101,32,train,0.39746207999023836
gnn,101,32,val,0.43841983946586005
gnn,101,33,train,0.33373336954606014
gnn,101,33,val,0.38710436289726724
gnn,101,34,train,0.36399722544432095
gnn,101,34,val,0.3668638692220328
gnn,101,35,train,0.461042200752408
gnn,101,35,val,0.37981123480955237
gnn,101,36,train,0.33940971216798516
gnn,101,36,val,0.4179539285221337
gnn,101,37,train,0.37333037179618855
gnn,101,37,val,0.3542105144164209
gnn,101,38,train,0.38483862913717476
gnn,101,38,val,0.3685170549583304
gnn,101,39,train,0.33304569681224405
gnn,101,39,val,0.33606598269096505
gnn,101,40,train,0.3627890035563038
gnn,101,40,val,0.3722198633316147
gnn,101,41,train,0.37644911310737095
gnn,101,41,val,0.3720517894517675
gnn,101,42,train,0.37592550060177815
gnn,101,42,val,0.3573643458456537
gnn,101,43,train,0.3529450168331803
gnn,101,43,val,0.3766464081341514
gnn,101,44,train,0.2982478802515905
gnn,101,44,val,0.37197396427348134
gnn,101,45,train,0.35166289187604677
